Order,Topic_Order,Topic,Subtopic,Problem_Name,Difficulty,LeetCode_URL,YouTube_URL
37,1,"Learn the basics","Know Basic Maths","Reverse a number",Easy,"https://leetcode.com/problems/reverse-integer/","https://youtu.be/1xNbjMdbjug?t=930"
38,1,"Learn the basics","Know Basic Maths","Palindrome Number",Easy,"https://leetcode.com/problems/palindrome-number/","https://youtu.be/1xNbjMdbjug?t=1230"
39,1,"Learn the basics","Know Basic Maths","GCD of Two Numbers",Easy,"","https://youtu.be/1xNbjMdbjug?t=2684"
40,1,"Learn the basics","Know Basic Maths","Check if the Number is Armstrong",Easy,"https://leetcode.com/problems/armstrong-number/","https://youtu.be/1xNbjMdbjug?t=1418"
41,1,"Learn the basics","Know Basic Maths","Print all Divisors",Easy,"","https://youtu.be/1xNbjMdbjug?t=1580"
42,1,"Learn the basics","Know Basic Maths","Check for Prime Number",Easy,"","https://youtu.be/1xNbjMdbjug?t=2381"
43,1,"Learn the basics","Learn Basic Recursion","Understand recursion by print something N times",Easy,"","https://www.youtube.com/watch?v=yVdKa8dnKiE&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9"
44,1,"Learn the basics","Learn Basic Recursion","Print name N times using recursion",Easy,"","https://www.youtube.com/watch?v=un6PLygfXrA&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=2"
45,1,"Learn the basics","Learn Basic Recursion","Print 1 to N using Recursion",Easy,"","https://www.youtube.com/watch?v=un6PLygfXrA&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=2"
46,1,"Learn the basics","Learn Basic Recursion","Print N to 1 using Recursion",Easy,"","https://www.youtube.com/watch?v=un6PLygfXrA&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=2"
47,1,"Learn the basics","Learn Basic Recursion","Sum of First N Numbers",Easy,"","https://www.youtube.com/watch?v=69ZCDFy-OUo&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=3"
48,1,"Learn the basics","Learn Basic Recursion","Factorial of a given number",Easy,"","https://www.youtube.com/watch?v=69ZCDFy-OUo&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=3"
49,1,"Learn the basics","Learn Basic Recursion","Reverse an array",Easy,"","https://www.youtube.com/watch?v=twuC1F6gLI8&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=4"
50,1,"Learn the basics","Learn Basic Recursion","Check if String is Palindrome or Not ",Easy,"https://leetcode.com/problems/valid-palindrome/","https://www.youtube.com/watch?v=twuC1F6gLI8&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=4"
51,1,"Learn the basics","Learn Basic Recursion","Fibonacci Number",Easy,"https://leetcode.com/problems/fibonacci-number/","https://www.youtube.com/watch?v=kvRjNm4rVBE&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=5"
52,1,"Learn the basics","Learn Basic Hashing","Basic Hashing",Easy,"","https://www.youtube.com/watch?v=KEs5UyBJ39g"
