Order,Topic_Order,Topic,Subtopic,Problem_Name,Difficulty,LeetCode_URL,YouTube_URL
150,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Learn 1D LinkedList","Insertion at the head of Linked List",Easy,"","https://youtu.be/VaECK03Dz-g?si=vHSwdf9jhE05adKM&t=1934"
151,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Learn 1D LinkedList","Deletion of the head of LL",Easy,"https://leetcode.com/problems/delete-node-in-a-linked-list/","https://youtu.be/VaECK03Dz-g?si=CRaBHbOo2bHFbOT5"
152,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Learn 1D LinkedList","Find the length of the Linked List",Easy,"","https://youtu.be/Nq7ok-OyEpg?si=xqQbukLfo2oZ6C6s&t=2240"
153,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Learn 1D LinkedList","Search in Linked List",Medium,"","https://youtu.be/Nq7ok-OyEpg?si=WNXcIaXZ_B6cNq0s&t=2524"
154,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Learn Doubly LinkedList","Introduction to Doubly LL",Easy,"","https://youtu.be/0eKMU10uEDI?si=uDnoj_C5ghEpNLvP"
155,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Learn Doubly LinkedList","Insert node before head in Doubly Linked List",Easy,"","https://youtu.be/0eKMU10uEDI?si=J5a0pQTosimcO_aA&t=2684"
156,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Learn Doubly LinkedList","Delete head of Doubly Linked List",Easy,"","https://youtu.be/0eKMU10uEDI?si=sE7jqrW46lfRHVLd&t=853"
157,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Learn Doubly LinkedList","Reverse a Doubly Linked List",Medium,"","https://youtu.be/u3WUW2qe6ww?si=96Wwlju72IvmzkxE"
158,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Medium Problems of LL","Middle of a LinkedList [TortoiseHare Method]",Easy,"https://leetcode.com/problems/middle-of-the-linked-list/","https://youtu.be/7LjQ57RqgEc?si=ir_rRDio38rhamU_"
159,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Medium Problems of LL","Reverse a LinkedList [Iterative]",Medium,"https://leetcode.com/problems/reverse-linked-list/","https://youtu.be/D2vI2DNJGd8?si=RCaLSx01qR21IBdh"
160,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Medium Problems of LL","Reverse a LL",Medium,"https://leetcode.com/problems/reverse-linked-list/","https://youtu.be/D2vI2DNJGd8?si=RCaLSx01qR21IBdh"
161,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Medium Problems of LL","Detect a loop in LL",Medium,"https://leetcode.com/problems/linked-list-cycle/","https://youtu.be/wiOo4DC5GGA?si=zagt6O6tFXc4_3cx"
162,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Medium Problems of LL","Find the starting point in LL",Medium,"https://leetcode.com/problems/linked-list-cycle-ii/","https://youtu.be/2Kd0KKmmHFc?si=7UreDPRjRvapeVB0"
163,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Medium Problems of LL","Length of loop in LL",Medium,"","https://youtu.be/I4g1qbkTPus?si=ONktpqewvx57T8pF"
164,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Medium Problems of LL","Check if LL is palindrome or not",Medium,"https://leetcode.com/problems/palindrome-linked-list/","https://youtu.be/lRY_G-u_8jk?si=BpM8hRYvXSYyjl-G"
165,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Medium Problems of LL","Segregate odd and even nodes in Linked List",Medium,"https://leetcode.com/problems/odd-even-linked-list/","https://youtu.be/qf6qp7GzD5Q?si=JozAyXUdT8EJMSCQ"
166,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Medium Problems of LL","Remove Nth node from the back of the LL",Medium,"https://leetcode.com/problems/remove-nth-node-from-end-of-list/","https://youtu.be/3kMKYQ2wNIU?si=DtFDnPU7z9HMz_GM"
167,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Medium Problems of LL","Delete the middle node in LL",Medium,"https://leetcode.com/problems/delete-the-middle-node-of-a-linked-list/#:~:text=You%20are%20given%20the%20head,than%20or%20equal%20to%20x%20.","https://youtu.be/ePpV-_pfOeI?si=Au9GsZkVO57j6SiN"
168,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Medium Problems of LL","Sort LL",Hard,"https://leetcode.com/problems/sort-list/","https://youtu.be/8ocB7a_c-Cc?si=Gv-Y8q8-WyARoV35"
169,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Medium Problems of LL","Sort a Linked List of 0's 1's and 2's",Medium,"","https://youtu.be/gRII7LhdJWc?si=l3qRC7w3NhY7OAqw"
170,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Medium Problems of LL","Find the intersection point of Y LL",Medium,"https://leetcode.com/problems/intersection-of-two-linked-lists/","https://youtu.be/0DYoPz2Tpt4?si=L-uJs5yXUxj4VJM2"
171,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Medium Problems of LL","Add one to a number represented by LL",Medium,"","https://youtu.be/aXQWhbvT3w0?si=uRgU9S4r5cVmnUy7"
172,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Medium Problems of LL","Add two numbers in Linked List",Medium,"https://leetcode.com/problems/add-two-numbers/","https://www.youtube.com/watch?v=LBVsXSMOIk4&list=PLgUwDviBIf0p4ozDR_kJJkONnb1wdx2Ma&index=32"
173,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Medium Problems of DLL","Delete all occurrences of a key in DLL",Hard,"","https://youtu.be/Mh0NH_SD92k?si=tCYshBRi1upMqSVz"
174,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Medium Problems of DLL","Find Pairs with Given Sum in Doubly Linked List",Medium,"","https://youtu.be/YitR4dQsddE?si=iZAC259hdngV_OxC"
175,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Medium Problems of DLL","Remove duplicates from sorted DLL",Hard,"","https://youtu.be/YJKVTnOJXSY?si=AsZoNUoewetsBjr0"
176,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Hard Problems of LL","Reverse LL in group of given size K",Hard,"https://leetcode.com/problems/reverse-nodes-in-k-group/","https://youtu.be/lIar1skcQYI?si=_jFghHKX4eaK36a1"
177,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Hard Problems of LL","Rotate a LL",Hard,"https://leetcode.com/problems/rotate-list/description/","https://youtu.be/uT7YI7XbTY8?si=ZaChW3a68c_v54Is"
178,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Hard Problems of LL","Flattening of LL",Hard,"","https://youtu.be/ykelywHJWLg?si=InMg9MmTHzY22NSR"
179,6,"Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]","Hard Problems of LL","Clone a LL with random and next pointer",Hard,"https://leetcode.com/problems/copy-list-with-random-pointer/","https://youtu.be/q570bKdrnlw?si=epZtpWvtNwuTf23o"
180,7,"Recursion [PatternWise]","Get a Strong Hold","Recursive Implementation of atoi()",Medium,"https://leetcode.com/problems/string-to-integer-atoi/",""
181,7,"Recursion [PatternWise]","Get a Strong Hold","Pow(x, n)",Easy,"https://leetcode.com/problems/powx-n/","https://youtu.be/l0YC3876qxg"
182,7,"Recursion [PatternWise]","Get a Strong Hold","Count Good Numbers",Medium,"https://leetcode.com/problems/count-good-numbers/",""
183,7,"Recursion [PatternWise]","Get a Strong Hold","Sort a stack using recursion",Medium,"",""
184,7,"Recursion [PatternWise]","Get a Strong Hold","Reverse a Stack",Medium,"",""
185,7,"Recursion [PatternWise]","Subsequences Pattern","Generate Binary Strings Without Consecutive 1s",Medium,"",""
186,7,"Recursion [PatternWise]","Subsequences Pattern","Generate Parentheses",Medium,"https://leetcode.com/problems/generate-parentheses/",""
187,7,"Recursion [PatternWise]","Subsequences Pattern","Power Set",Medium,"","https://www.youtube.com/watch?v=b7AYbpM5YrE&list=PLgUwDviBIf0p4ozDR_kJJkONnb1wdx2Ma&index=67"
188,7,"Recursion [PatternWise]","Subsequences Pattern","Learn All Patterns of Subsequences (Theory)",Easy,"","https://www.youtube.com/watch?v=eQCS_v3bw0Q&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=7"
189,7,"Recursion [PatternWise]","Subsequences Pattern","Count all subsequences with sum K",Easy,"",""
190,7,"Recursion [PatternWise]","Subsequences Pattern","Check if there exists a subsequence with sum K",Easy,"",""
191,7,"Recursion [PatternWise]","Subsequences Pattern","Combination Sum",Medium,"https://leetcode.com/problems/combination-sum/","https://www.youtube.com/watch?v=OyZFFqQtu98&list=PLgUwDviBIf0p4ozDR_kJJkONnb1wdx2Ma&index=49"
192,7,"Recursion [PatternWise]","Subsequences Pattern","Combination Sum II",Medium,"https://leetcode.com/problems/combination-sum-ii/","https://www.youtube.com/watch?v=G1fRTGRxXU8&list=PLgUwDviBIf0p4ozDR_kJJkONnb1wdx2Ma&index=50"
193,7,"Recursion [PatternWise]","Subsequences Pattern","Subsets I",Medium,"","https://www.youtube.com/watch?v=rYkfBRtMJr8&list=PLgUwDviBIf0p4ozDR_kJJkONnb1wdx2Ma&index=52"
194,7,"Recursion [PatternWise]","Subsequences Pattern","Subsets II",Medium,"https://leetcode.com/problems/subsets-ii/","https://www.youtube.com/watch?v=RIn3gOkbhQE&list=PLgUwDviBIf0p4ozDR_kJJkONnb1wdx2Ma&index=53"
195,7,"Recursion [PatternWise]","Subsequences Pattern","Combination Sum III",Medium,"https://leetcode.com/problems/combination-sum-iii/",""
196,7,"Recursion [PatternWise]","Subsequences Pattern","Letter Combinations of a Phone Number",Hard,"https://leetcode.com/problems/letter-combinations-of-a-phone-number/",""
197,7,"Recursion [PatternWise]","Trying out all Combos / Hard","Palindrome partitioning",Hard,"","https://youtu.be/_H8V5hJUGd0"
198,7,"Recursion [PatternWise]","Trying out all Combos / Hard","Word Search",Hard,"https://leetcode.com/problems/word-search/",""
199,7,"Recursion [PatternWise]","Trying out all Combos / Hard","N Queen",Hard,"https://leetcode.com/problems/n-queens/","https://www.youtube.com/watch?v=i05Ju7AftcM&list=PLgUwDviBIf0p4ozDR_kJJkONnb1wdx2Ma&index=57"
200,7,"Recursion [PatternWise]","Trying out all Combos / Hard","Rat in a Maze",Hard,"","https://www.youtube.com/watch?v=bLGZhJlt4y0&list=PLgUwDviBIf0p4ozDR_kJJkONnb1wdx2Ma&index=60"
201,7,"Recursion [PatternWise]","Trying out all Combos / Hard","Word Break",Medium,"",""
202,7,"Recursion [PatternWise]","Trying out all Combos / Hard","M Coloring Problem",Hard,"","https://www.youtube.com/watch?v=wuVwUK25Rfc&list=PLgUwDviBIf0p4ozDR_kJJkONnb1wdx2Ma&index=59"
203,7,"Recursion [PatternWise]","Trying out all Combos / Hard","Sudoku Solver",Hard,"https://leetcode.com/problems/sudoku-solver/","https://www.youtube.com/watch?v=FWAIf_EVUKE&list=PLgUwDviBIf0p4ozDR_kJJkONnb1wdx2Ma&index=58"
204,7,"Recursion [PatternWise]","Trying out all Combos / Hard","Expression Add Operators",Hard,"https://leetcode.com/problems/expression-add-operators/",""
205,8,"Bit Manipulation [Concepts & Problems]","Learn Bit Manipulation","Introduction to Bits and Tricks",Easy,"","https://youtu.be/qQd-ViW7bfk?si=QtdNaRhHmZb08Mr8"
206,8,"Bit Manipulation [Concepts & Problems]","Learn Bit Manipulation","Check if the i-th bit is Set or Not",Easy,"","https://youtu.be/nttpF8kwgd4?si=x9o8PsYaA2XVZ9rV"
207,8,"Bit Manipulation [Concepts & Problems]","Learn Bit Manipulation","Check if a Number is Odd or Not",Easy,"","https://youtu.be/nttpF8kwgd4?si=x9o8PsYaA2XVZ9rV"
208,8,"Bit Manipulation [Concepts & Problems]","Learn Bit Manipulation","Check if a Number is Power of 2 or Not",Easy,"https://leetcode.com/problems/power-of-two/","https://youtu.be/nttpF8kwgd4?si=x9o8PsYaA2XVZ9rV"
209,8,"Bit Manipulation [Concepts & Problems]","Learn Bit Manipulation","Count the Number of Set Bits",Easy,"","https://youtu.be/nttpF8kwgd4?si=x9o8PsYaA2XVZ9rV"
210,8,"Bit Manipulation [Concepts & Problems]","Learn Bit Manipulation","Set/Unset the rightmost unset bit",Easy,"","https://youtu.be/nttpF8kwgd4?si=x9o8PsYaA2XVZ9rV"
211,8,"Bit Manipulation [Concepts & Problems]","Learn Bit Manipulation","Swap Two Numbers",Easy,"","https://youtu.be/nttpF8kwgd4?si=x9o8PsYaA2XVZ9rV"
212,8,"Bit Manipulation [Concepts & Problems]","Learn Bit Manipulation","Divide two numbers without multiplication and division",Medium,"https://leetcode.com/problems/divide-two-integers/","https://youtu.be/pBD4B1tzgVc?si=G9c5pEE-RrzeU6sz"
213,8,"Bit Manipulation [Concepts & Problems]","Interview Problems","Minimum Bit Flips to Convert Number",Medium,"https://leetcode.com/problems/minimum-bit-flips-to-convert-number/","https://youtu.be/OOdrmcfZXd8?si=rnkRVz1UiVBKWC69"
214,8,"Bit Manipulation [Concepts & Problems]","Interview Problems","Single Number - I",Medium,"https://leetcode.com/problems/single-number/","https://youtu.be/bYWLJb3vCWY?t=1369"
215,8,"Bit Manipulation [Concepts & Problems]","Interview Problems","Power Set Bit Manipulation",Medium,"https://leetcode.com/problems/subsets/","https://youtu.be/LqKaUv1G3_I?si=UXU_T5OsHiokPRvP"
216,8,"Bit Manipulation [Concepts & Problems]","Interview Problems","XOR of numbers in a given range",Medium,"","https://youtu.be/WqGb7159h7Q?si=uGUEbNUUaIN_6Vvr"
217,8,"Bit Manipulation [Concepts & Problems]","Interview Problems","Single Number - III",Medium,"","https://youtu.be/UA5JnV1J2sI?si=VFBRJyb3boZvx_r1"
218,8,"Bit Manipulation [Concepts & Problems]","Advanced Maths","Print Prime Factors of a Number",Hard,"","https://youtu.be/LT7XhVdeRyg?si=6HkjQokJRPTFai21"
219,8,"Bit Manipulation [Concepts & Problems]","Advanced Maths","Divisors of a Number",Easy,"","https://youtu.be/1xNbjMdbjug?t=1580"
220,8,"Bit Manipulation [Concepts & Problems]","Advanced Maths","Count primes in range L to R",Hard,"https://leetcode.com/problems/count-primes/","https://youtu.be/g5Fuxn_AvSk?si=fv6Q-Po7wrMW0a5n"
221,8,"Bit Manipulation [Concepts & Problems]","Advanced Maths","Prime factorisation of a Number",Hard,"","https://youtu.be/LT7XhVdeRyg?si=6HkjQokJRPTFai21"
222,8,"Bit Manipulation [Concepts & Problems]","Advanced Maths","Pow(x,n)",Easy,"https://leetcode.com/problems/powx-n/","https://youtu.be/l0YC3876qxg"
223,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Learning","Implement Stack using Arrays",Easy,"","https://youtu.be/tqQ5fTamIN4?si=ofLt8Zt1ZvhikZ6w"
224,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Learning","Implement Queue using Arrays",Easy,"","https://youtu.be/tqQ5fTamIN4?si=ofLt8Zt1ZvhikZ6w"
225,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Learning","Implement Stack using Queue",Easy,"https://leetcode.com/problems/implement-stack-using-queues/","https://youtu.be/tqQ5fTamIN4?si=ofLt8Zt1ZvhikZ6w"
226,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Learning","Implement Queue using Stack",Easy,"https://leetcode.com/problems/implement-queue-using-stacks/","https://youtu.be/tqQ5fTamIN4?si=ofLt8Zt1ZvhikZ6w"
227,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Learning","Implement stack using Linkedlist",Easy,"","https://youtu.be/tqQ5fTamIN4?si=ofLt8Zt1ZvhikZ6w"
228,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Learning","Implement queue using Linkedlist",Easy,"","https://youtu.be/tqQ5fTamIN4?si=ofLt8Zt1ZvhikZ6w"
229,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Learning","Balanced Paranthesis",Easy,"https://leetcode.com/problems/valid-parentheses/","https://youtu.be/xwjS0iZhw4I?si=UoyKpFn4Q3nf5h2R"
230,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Learning","Implement Min Stack",Hard,"https://leetcode.com/problems/min-stack/","https://youtu.be/NdDIaH91P0g?si=4_Jbsq5trFvfSdUY"
231,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Prefix, Infix, PostFix Conversion Problems","Infix to Postfix Conversion",Medium,"","https://youtu.be/4pIc9UBHJtk?si=ryeVvQWpCgwbTQrh"
232,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Prefix, Infix, PostFix Conversion Problems","Prefix to Infix Conversion",Medium,"","https://youtu.be/4pIc9UBHJtk?si=ryeVvQWpCgwbTQrh"
233,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Prefix, Infix, PostFix Conversion Problems","Prefix to Postfix Conversion",Medium,"","https://youtu.be/4pIc9UBHJtk?si=0pWtyDC1GhbiYP3P"
234,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Prefix, Infix, PostFix Conversion Problems","Postfix to Prefix Conversion",Medium,"","https://youtu.be/4pIc9UBHJtk?si=0pWtyDC1GhbiYP3P"
235,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Prefix, Infix, PostFix Conversion Problems","Postfix to Infix Conversion",Easy,"","https://youtu.be/4pIc9UBHJtk?si=0pWtyDC1GhbiYP3P"
236,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Prefix, Infix, PostFix Conversion Problems","Infix to Prefix Conversion",Medium,"","https://youtu.be/4pIc9UBHJtk?si=0pWtyDC1GhbiYP3P"
237,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Monotonic Stack/Queue Problems [VVV. Imp]","Next Greater Element",Medium,"https://leetcode.com/problems/next-greater-element-i/","https://youtu.be/e7XQLtOQM3I?si=QdcHpTtx6gAHsext"
238,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Monotonic Stack/Queue Problems [VVV. Imp]","Next Greater Element - 2",Medium,"https://leetcode.com/problems/next-greater-element-ii/","https://youtu.be/7PrncD7v9YQ?si=UkBc7eVy9HGlBpeW"
239,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Monotonic Stack/Queue Problems [VVV. Imp]","Next Smaller Element",Medium,"",""
240,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Monotonic Stack/Queue Problems [VVV. Imp]","Number of Greater Elements to the Right",Easy,"",""
241,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Monotonic Stack/Queue Problems [VVV. Imp]","Trapping Rainwater",Hard,"https://leetcode.com/problems/trapping-rain-water/","https://youtu.be/1_5VuquLbXg?si=NFG6df318_6OtGvg"
242,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Monotonic Stack/Queue Problems [VVV. Imp]","Sum of Subarray Minimums",Medium,"https://leetcode.com/problems/sum-of-subarray-minimums/","https://youtu.be/v0e8p9JCgRc?si=XAU7ekECgS5nboRw"
243,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Monotonic Stack/Queue Problems [VVV. Imp]","Asteroid Collision",Medium,"https://leetcode.com/problems/asteroid-collision/","https://youtu.be/_eYGqw_VDR4?si=YyxibcHq800RqgIQ"
244,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Monotonic Stack/Queue Problems [VVV. Imp]","Sum of Subarray Ranges",Medium,"https://leetcode.com/problems/sum-of-subarray-ranges/","https://youtu.be/gIrMptNPf5M?si=Q_GHuBvzZVs27X_U"
245,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Monotonic Stack/Queue Problems [VVV. Imp]","Remove K Digits",Medium,"https://leetcode.com/problems/remove-k-digits/","https://youtu.be/jmbuRzYPGrg?si=WN387gwQ7aXWkUao"
246,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Monotonic Stack/Queue Problems [VVV. Imp]","Largest rectangle in a histogram",Hard,"https://leetcode.com/problems/largest-rectangle-in-histogram/","https://youtu.be/Bzat9vgD0fs?si=DiBlLejXcr6EJoyB"
247,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Monotonic Stack/Queue Problems [VVV. Imp]","Maximum Rectangles",Hard,"https://leetcode.com/problems/maximal-rectangle/","https://youtu.be/tOylVCugy9k"
248,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Implementation Problems","Sliding Window Maximum",Hard,"https://leetcode.com/problems/sliding-window-maximum/","https://youtu.be/NwBvene4Imo?si=eU1PY-bcQfk5wdog"
249,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Implementation Problems","Stock span problem",Hard,"https://leetcode.com/problems/online-stock-span/","https://youtu.be/eay-zoSRkVc?si=deNNe5i38BOAntha"
250,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Implementation Problems","Celebrity Problem",Hard,"https://leetcode.com/accounts/login/?next=/problems/find-the-celebrity/","https://youtu.be/cEadsbTeze4?si=olXYfOs7l-SEn2zl"
251,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Implementation Problems","LRU Cache",Medium,"",""
252,9,"Stack and Queues [Learning, Pre-In-Post-fix, Monotonic Stack, Implementation]","Implementation Problems","LFU Cache",Hard,"https://leetcode.com/problems/lfu-cache/","https://www.youtube.com/watch?v=0PSB9y8ehbk&list=PLgUwDviBIf0p4ozDR_kJJkONnb1wdx2Ma&index=79"
253,10,"Sliding Window & Two Pointer Combined Problems","Medium Problems","Longest Substring Without Repeating Characters",Medium,"https://leetcode.com/problems/longest-substring-without-repeating-characters/","https://youtu.be/-zSxTJkcdAo?si=I2zfR-vlDMg0zU9z"
254,10,"Sliding Window & Two Pointer Combined Problems","Medium Problems"," Max Consecutive Ones III",Medium,"https://leetcode.com/problems/max-consecutive-ones-iii/","https://youtu.be/3E4JBHSLpYk?si=SoOW64pP6otEKxBw"
255,10,"Sliding Window & Two Pointer Combined Problems","Medium Problems"," Fruit Into Baskets",Medium,"","https://youtu.be/e3bs0uA1NhQ?si=gR8pO62u-nJeFAXk"
256,10,"Sliding Window & Two Pointer Combined Problems","Medium Problems","Longest Repeating Character Replacement",Hard,"https://leetcode.com/problems/longest-repeating-character-replacement/","https://youtu.be/_eNhaDCr6P0?si=pBWcEjozF5poom0p"
257,10,"Sliding Window & Two Pointer Combined Problems","Medium Problems","Binary Subarrays With Sum",Hard,"https://leetcode.com/problems/binary-subarrays-with-sum/","https://youtu.be/XnMdNUkX6VM?si=Nyt8EveeLUg8lmty"
258,10,"Sliding Window & Two Pointer Combined Problems","Medium Problems","Count number of Nice subarrays",Hard,"https://leetcode.com/problems/count-number-of-nice-subarrays/","https://youtu.be/j_QOv9OT9Og?si=Oq5-5hyFkzVSOZpP"
259,10,"Sliding Window & Two Pointer Combined Problems","Medium Problems","Number of Substrings Containing All Three Characters",Hard,"https://leetcode.com/problems/number-of-substrings-containing-all-three-characters/","https://youtu.be/xtqN4qlgr8s?si=kuaLHVOLXhh5Z2tW"
260,10,"Sliding Window & Two Pointer Combined Problems","Medium Problems","Maximum Points You Can Obtain from Cards ",Medium,"https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards/","https://youtu.be/pBWCOCS636U?si=-X64rY67noxvOwrG"
261,10,"Sliding Window & Two Pointer Combined Problems","Hard Problems","Longest Substring With At Most K Distinct Characters",Hard,"https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters/","https://youtu.be/teM9ZsVRQyc?si=Kh0_u6aCkkBU3Q33"
262,10,"Sliding Window & Two Pointer Combined Problems","Hard Problems","Subarrays with K Different Integers",Medium,"https://leetcode.com/problems/subarrays-with-k-different-integers/","https://youtu.be/7wYGbV_LsX4?si=KWa48RgLDCvdNqRb"
263,10,"Sliding Window & Two Pointer Combined Problems","Hard Problems","Minimum Window Substring ",Hard,"https://leetcode.com/problems/minimum-window-substring/","https://youtu.be/WJaij9ffOIY?si=-xnsWIH84zWU0ICd"
264,10,"Sliding Window & Two Pointer Combined Problems","Hard Problems","Minimum Window Subsequence",Hard,"https://leetcode.com/problems/minimum-window-subsequence/",""
265,11,"Heaps [Learning, Medium, Hard Problems]","Learning","Heaps (Theory Video)",Easy,"",""
266,11,"Heaps [Learning, Medium, Hard Problems]","Learning","Implement Min Heap",Medium,"",""
267,11,"Heaps [Learning, Medium, Hard Problems]","Learning","Check if an array represents a min heap ",Medium,"",""
268,11,"Heaps [Learning, Medium, Hard Problems]","Learning","Convert Min Heap to Max Heap",Medium,"",""
269,11,"Heaps [Learning, Medium, Hard Problems]","Medium Problems","K-th Largest element in an array",Medium,"",""
270,11,"Heaps [Learning, Medium, Hard Problems]","Medium Problems","Sort K sorted array",Easy,"",""
271,11,"Heaps [Learning, Medium, Hard Problems]","Medium Problems","Merge K sorted Lists",Hard,"https://leetcode.com/problems/merge-k-sorted-lists/",""
272,11,"Heaps [Learning, Medium, Hard Problems]","Medium Problems","Replace Elements by Their Rank",Easy,"",""
273,11,"Heaps [Learning, Medium, Hard Problems]","Medium Problems","Task Scheduler",Medium,"https://leetcode.com/problems/task-scheduler/",""
274,11,"Heaps [Learning, Medium, Hard Problems]","Medium Problems","Hand of Straights",Medium,"https://leetcode.com/problems/hand-of-straights/",""
275,11,"Heaps [Learning, Medium, Hard Problems]","Hard Problems","Design Twitter",Medium,"https://leetcode.com/problems/design-twitter/",""
276,11,"Heaps [Learning, Medium, Hard Problems]","Hard Problems","Minimum Cost to Connect Sticks",Medium,"",""
277,11,"Heaps [Learning, Medium, Hard Problems]","Hard Problems","Kth largest element in a stream of running integers",Hard,"https://leetcode.com/problems/kth-largest-element-in-a-stream/#:~:text=Implement%20KthLargest%20class%3A,largest%20element%20in%20the%20stream.",""
278,11,"Heaps [Learning, Medium, Hard Problems]","Hard Problems","Maximum Sum Combination",Hard,"",""
279,11,"Heaps [Learning, Medium, Hard Problems]","Hard Problems","Find Median from Data Stream",Hard,"https://leetcode.com/problems/find-median-from-data-stream/",""
280,11,"Heaps [Learning, Medium, Hard Problems]","Hard Problems","Top K Frequent Elements",Medium,"https://leetcode.com/problems/top-k-frequent-elements/",""
281,12,"Greedy Algorithms [Easy, Medium/Hard]","Easy Problems","Assign Cookies",Easy,"https://leetcode.com/problems/assign-cookies/","https://youtu.be/DIX2p7vb9co?si=GofAIDimue-Av0Fi"
282,12,"Greedy Algorithms [Easy, Medium/Hard]","Easy Problems","Fractional Knapsack",Medium,"","https://youtu.be/1ibsQrnuEEg?si=8R2By3wpHo0zZVHE"
283,12,"Greedy Algorithms [Easy, Medium/Hard]","Easy Problems","Lemonade Change",Easy,"https://leetcode.com/problems/lemonade-change/","https://youtu.be/n_tmibEhO6Q?si=q1NW8MfPy0QU6fIl"
