ID,Problem Name,Topic,Difficulty,LeetCode URL,YouTube URL
43,"Understand recursion by print something N times","Learn the basics",Easy,"","https://www.youtube.com/watch?v=yVdKa8dnKiE&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9"
44,"Print name N times using recursion","Learn the basics",Easy,"","https://www.youtube.com/watch?v=un6PLygfXrA&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=2"
45,"Print 1 to N using Recursion","Learn the basics",Easy,"","https://www.youtube.com/watch?v=un6PLygfXrA&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=2"
46,"Print N to 1 using Recursion","Learn the basics",Easy,"","https://www.youtube.com/watch?v=un6PLygfXrA&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=2"
47,"Sum of First N Numbers","Learn the basics",Easy,"","https://www.youtube.com/watch?v=69ZCDFy-OUo&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=3"
48,"Factorial of a given number","Learn the basics",Easy,"","https://www.youtube.com/watch?v=69ZCDFy-OUo&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=3"
49,"Reverse an array","Learn the basics",Easy,"","https://www.youtube.com/watch?v=twuC1F6gLI8&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=4"
50,"Check if String is Palindrome or Not ","Learn the basics",Easy,"https://leetcode.com/problems/valid-palindrome/","https://www.youtube.com/watch?v=twuC1F6gLI8&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=4"
51,"Fibonacci Number","Learn the basics",Easy,"https://leetcode.com/problems/fibonacci-number/","https://www.youtube.com/watch?v=kvRjNm4rVBE&list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9&index=5"
52,"Basic Hashing","Learn the basics",Easy,"","https://www.youtube.com/watch?v=KEs5UyBJ39g"
53,"Counting Frequencies of Array Elements","Learn the basics",Easy,"",""
